ano,Base,PIB,inflacao
1946,1.1E-11,5.8E-11,22.22
1947,1.1E-11,6.5E-11,2.73
1948,1.2E-11,7.5E-11,7.96
1949,1.3E-11,8.8E-11,12.3
1950,1.6E-11,1.02E-10,12.41
1951,1.8E-11,1.27E-10,12.34
1952,2.1E-11,1.49E-10,12.72
1953,2.5E-11,1.78E-10,20.51
1954,3.1E-11,2.44E-10,25.86
1955,3.5E-11,2.96E-10,12.15
1956,4.2E-11,3.74E-10,24.55
1957,5.7E-11,4.54E-10,6.96
1958,6.7E-11,5.65E-10,24.39
1959,9.4E-11,8.43E-10,39.43
1960,1.31E-10,1.157E-09,30.47
1961,2.11E-10,1.692E-09,47.78
1962,3.46E-10,2.71E-09,51.6
1963,5.89E-10,4.864E-09,79.92
1964,1.051E-09,9.532E-09,92.12
1965,1.815E-09,1.5513E-08,34.24
1966,2.233E-09,2.2832E-08,39.12
1967,2.922E-09,3.0103E-08,25.01
1968,4.149E-09,4.188E-08,25.49
1969,5.34E-09,5.5055E-08,19.31
1970,6.24E-09,7.066E-08,19.26
1971,8.506E-09,9.3926E-08,19.47
1972,1.0081E-08,1.26029E-07,15.72
1973,1.4828E-08,1.86122E-07,15.54
1974,1.971E-08,2.70959E-07,34.55
1975,2.6885E-08,3.81643E-07,29.35
1976,4.0273E-08,5.94168E-07,46.26
1977,6.0677E-08,9.06537E-07,38.78
1978,8.7936E-08,1.31536E-06,40.81
1979,1.62128E-07,2.16772E-06,77.25
1980,2.11037E-07,4.54829E-06,110.24
1981,3.52922E-07,8.73301E-06,95.2
1982,7.06909E-07,1.77021E-05,99.72
1983,1.27091E-06,3.97768E-05,210.99
1984,4.62727E-06,0.000126504,223.81
1985,1.65338E-05,0.000475534,235.11
1986,6.50527E-05,0.001273684,65.03
1987,0.000183102,0.004037806,415.83
1988,0.001322601,0.02937563,1.037.56
1989,0.024522182,0.42559531,1.782.89
1990,0.589553091,11.54879455,1.476.71
1991,2.306243273,60.28599927,480.23
1992,25.16735818,640.9587676,1.157.83
1993,516.7290804,14097.11418,2.708.17
1994,17684.551,349204.679,1.093.89
1995,21681.591,705640.8921,14.78
1996,19795.697,843965.6313,9.34
1997,31828.332,939146.6169,7.48
1998,39184.378,979275.7489,1.7
1999,48430.157,1064999.712,19.98
2000,47686.213,1179482,9.81
2001,53255.971,1302136,10.4
2002,73302.272,1477822,26.41
2003,73219.136,1699948,7.67
2004,88732.677,1941498,12.14
2005,101247.235,2147239,1.22
2006,121102.001,2369484,3.79
2007,146616.867,2661344,7.89
2008,147549.705,3032203,9.1
2009,166072.835,3239404,-1.43
2010,206853.322,3770084.872,11.3
2011,214235.311,4143013.338,5
2012,233371.452,4392093.997,8.1
2013,249509.778,4844815.076,5.52
