munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Abaetetuba;456256.932;3263.2;1610.6;103;0;0;0;0;6991;0.6026;0.571046783;0.400114916;0.637842766;0.675182668;;;;;;;7908039.14;0.029110566;0.032653527
Abel Figueiredo;42869.501;6153.22;614.3;584;1;1;1;0;444;0.8723;0.545982057;0.222497193;0.713746447;0.701702532;0.543871515;0.278836263;0.528578741;0.459742545;0.802545536;0.781883212;1105048.73;0.909188608;0.907502017
Acara;240422.151;4957.06;4343.8;210;0;0;0;0;2841;0.6249;0.51218504;0.282759164;0.647165809;0.606630146;0.143031473;0.099691139;0;0.333693072;0;0.455200257;5239786.91;0.032701191;0.035171603
Afua;100038.41;3065.56;8372.8;418;0;0;0;0;1101;0.4746;0.47014063;0.322251952;0.479597139;0.608572799;;;;;;;0.00;0.056926142;0.057673134
agua Azul do Norte;187433.199;6004.4;7113.9;841.5;1;1;1;0;1568;0.8644;0.504467751;0.340079273;0.50275636;0.670567621;0.47922468;0.100706042;0.791503821;0.886378767;0;0.790422385;3073831.08;0.988515773;0.987463557
Alenquer;208143.067;3647.35;23645.4;1474.5;1;1;0;1;3199;0.8107;0.518849241;0.324178759;0.56470258;0.667666383;0.155138956;0.05652745;0;0.319154539;0.003659535;0.697871131;4855647.65;0.955862923;0.964391937
Almeirim;345153.567;11065.45;72954.5;598;1;1;0;1;1491;0.6307;0.547848496;0.436044558;0.548441615;0.659059314;0.687363786;0.565698249;1;0.093704732;1;0.889981148;4711989.71;0.794424297;0.810327856
Altamira;608372.779;6160.74;159533;921;0;0;0;1;2331;0.4578;0.589955617;0.372255899;0.698208722;0.69940223;;;;;;;8307577.79;0.346561868;0.355319342
Anajas;62534.561;2283.45;6921.7;170;0;0;0;0;1421;0.7471;0.356319143;0;0.45545237;0.613505058;;;;;;;0.00;0.02946054;0.031640625
Ananindeua;3243369.407;6416.01;190.5;14;0;0;0;0;21621;0.8012;0.670131724;0.59700616;0.653700265;0.759688746;;;;;;;9642824.62;0.061857123;0.0694621
Anapu;77226.925;3781.74;11895.5;81;1;1;1;0;806;0.7196;0.475389155;0.292237729;0.462794378;0.671135358;0.647709437;0.047802741;0.94344633;1;0.557466922;0.742483385;2864468.78;0.810138249;0.81157919
Augusto Correa;111036.953;2824.15;1091.5;231;0;0;0;0;3219;0.9496;0.499780873;0.315589284;0.542741791;0.641011543;;;;;;;4334742.80;0.02513138;0.027679316
Aurora do Para;86019.956;3854.8;1811.8;290;0;0;0;0;1960;0.915;0.433097528;0.180787975;0.494312199;0.624192409;0.312663003;0.029422049;0;0.083774516;0.831972335;1;2356161.10;0.035878181;0.040371375
Aveiro;54393.734;2683.99;17073.8;207;1;1;0;1;1078;0.6375;0.465461843;0.36035261;0.497025879;0.539007039;;;;;;;0.00;0.976072739;0.97922327
Bagre;45750.636;2244.22;4397.3;340.5;0;0;0;0;763;0.6342;0.473293804;0.301122183;0.394919941;0.723839289;;;;;;;0.00;0.016784156;0.018145161
Baiao;105948.261;3743.89;3758.3;254;0;0;0;0;2305;0.9324;0.511168234;0.293127693;0.606026066;0.634350942;0.291272918;0.052739614;0;0.173979217;0.666190955;0.903682162;3170554.12;0.066369214;0.075263562
Bannach;30876.367;7822.74;2956.6;856.5;1;1;1;0;184;0.6259;0.504916924;0.29798791;0.543014408;0.673748454;0.519268259;0.098772476;0.713675952;0.317605006;0.772663653;0.911569141;1035531.59;0.981158088;0.981184029
Barcarena;3287297.247;35512.63;1310.3;87;0;0;0;0;3573;0.7398;0.645338774;0.568998463;0.659264511;0.707753348;;;;;;;0.00;0.057028079;0.066411186
Belem;16526989.01;11496.24;1059.4;0;0;0;0;0;14101;0.2132;0.766195042;0.866748623;0.667182251;0.764654251;0.684430486;0.669802339;0.619052796;0.524438979;0.881745823;0.780465003;29623576.43;0.051334432;0.061178814
Belterra;68352.071;5394.37;4398.4;1467;1;1;0;1;1166;0.7278;0.405583721;0;0.630877015;0.585874148;;;;;;;0.00;0.981761387;0.987486124
Benevides;519243.179;11139.93;187.8;36;0;0;0;0;2618;0.8944;0.609248817;0.482446481;0.647326961;0.697973008;0.571839016;0.126937841;0.705657494;0.476998297;0.795024607;0.982999119;4288308.84;0.054704163;0.05941611
Bom Jesus do Tocantins;63053.153;4638.65;2816.5;593;1;1;1;0;783;0.675;0.527475693;0.34687127;0.633665223;0.601890585;0.611844088;0.216020761;0.732951738;0.325890113;1;1;1538997.83;0.921875;0.920404502
