lag_decisoes_copom,decisoes_copom,inflacao_esperada,meta_inflacao,prod_ind_dessaz,prod_ind_hp,hiato
0,0,4.84,3.5,94.74,96.10797879,-1.36797879
0,-1,4.62,3.5,95.02,96.3961804,-1.3761804
-1,-1,4.74,3.5,97.38,96.68428701,0.69571299
-1,0,4.83,3.5,99.13,96.97210806,2.15789194
0,0,4.42,3.5,100.32,97.25950129,3.06049871
0,0,4.54,3.5,99.13,97.5464743,1.5835257
0,-2,4.71,3.5,97.86,97.83324723,0.02675277
-2,0,5.34,3.5,98.99,98.12015018,0.86984982
0,0,5.58,3.5,99.89,98.4075151,1.4824849
0,12,6.47,3.5,99.39,98.69573438,0.69426562
12,0,8.08,3.5,99.92,98.98530331,0.93469669
0,4,10.7,3.5,99.92,99.27676544,0.64323456
4,12,12.33,3.5,104.45,99.57072919,4.87927081
12,2,10.93,8.5,103.28,99.86784768,3.41215232
2,4,10.44,8.5,100.25,100.1691129,0.0808871
4,0,9.49,8.5,98.66,100.4757536,-1.8157536
0,0,8.81,8.5,98.26,100.7890045,-2.5290045
0,0,8.32,8.5,98.39,101.1099739,-2.7199739
0,-2,7.75,8.5,98.73,101.4395946,-2.7095946
-2,-6,6.67,8.5,97.65,101.7786106,-4.1286106
-6,-10,6.36,8.5,96.33,102.1275775,-5.7975775
-10,-8,6.34,8.5,97.27,102.4867645,-5.2167645
-8,-4,6.13,8.5,98.3,102.8560379,-4.5560379
-4,-6,6.01,8.5,102.36,103.2349019,-0.8749019
-6,-4,5.89,8.5,104.54,103.6225443,0.9174557
-4,0,5.88,5.5,105.83,104.018092,1.811908
0,0,5.57,5.5,103.67,104.4207359,-0.7507359
0,-1,5.43,5.5,103.57,104.8297923,-1.2597923
-1,-1,5.5,5.5,103.38,105.2445258,-1.8645258
-1,0,5.66,5.5,105.56,105.6641132,-0.1041132
0,0,6.02,5.5,105.67,106.087602,-0.417602
0,0,6.11,5.5,107.62,106.5140324,1.1059676
0,0,6.22,5.5,107.69,106.9424157,0.7475843
0,1,6.22,5.5,109.32,107.3718397,1.9481603
1,2,6.17,5.5,110.08,107.8014446,2.2785554
2,2,6.19,5.5,110.81,108.2305054,2.5794946
2,2,5.91,5.5,111.18,108.6584556,2.5215444
2,2,5.65,4.5,110.94,109.0849079,1.8550921
2,2,5.57,4.5,111.13,109.5096498,1.6203502
2,2,5.45,4.5,110.69,109.932598,0.757402
2,1,5.53,4.5,108.61,110.3537814,-1.7437814
1,1,5.37,4.5,110.79,110.7732818,0.0167182
1,0,5.06,4.5,110.99,111.1910596,-0.2010596
0,0,5,4.5,111.86,111.6070765,0.2529235
0,0,4.87,4.5,115.01,112.0212803,2.9887197
0,-1,4.78,4.5,111.86,112.4336363,-0.5736363
-1,-2,4.68,4.5,112.57,112.8443174,-0.2743174
-2,-2,4.64,4.5,111.17,113.2534565,-2.0834565
-2,-2,4.48,4.5,111.09,113.6611677,-2.5711677
-2,-3,4.61,4.5,111.85,114.0674202,-2.2174202
-3,-3,4.41,4.5,114.94,114.4720047,0.4679953
-3,-3,4.2,4.5,114.81,114.874558,-0.064558
-3,-2,4.21,4.5,113.83,115.2747494,-1.4447494
-2,-2,4.39,4.5,114.44,115.6722436,-1.2322436
-2,-2,4.51,4.5,113.25,116.066605,-2.816605
-2,-2,4.07,4.5,115.3,116.4573125,-1.1573125
-2,-2,4.18,4.5,114.89,116.8436493,-1.9536493
-2,-1,4.02,4.5,115.39,117.2248184,-1.8348184
-1,-1,3.81,4.5,117.25,117.5998869,-0.3498869
-1,-1,3.61,4.5,118.08,117.9677947,0.1122053
-1,-2,3.42,4.5,119.62,118.3274573,1.2925427
-2,-2,3.57,4.5,121.25,118.677798,2.572202
-2,-1,3.71,4.5,121.65,119.0178298,2.6321702
-1,0,3.84,4.5,123.61,119.3467443,4.2632557
0,0,3.96,4.5,122.3,119.6639162,2.6360838
0,0,4.34,4.5,124.98,119.9690159,5.0109841
0,0,4.25,4.5,124.24,120.261897,3.978103
0,2,4.38,4.5,126.08,120.5427611,5.5372389
2,2,4.8,4.5,126.97,120.812086,6.157914
2,3,5.42,4.5,125.97,121.0707341,4.8992659
3,3,5.23,4.5,130.59,121.3199954,9.2700046
3,0,5.27,4.5,128.75,121.5615001,7.1884999
0,0,5.31,4.5,130.76,121.7975222,8.9624778
0,-4,4.78,4.5,118.22,122.0308349,-3.8108349
-4,-6,4.38,4.5,103.81,122.2648337,-18.4548337
-6,-4,4.14,4.5,109.58,122.5026496,-12.9226496
-4,-4,4.08,4.5,110.3,122.7461318,-12.4461318
-4,-2,4.13,4.5,113.26,122.9962325,-9.7362325
-2,0,4.08,4.5,114.74,123.2530391,-8.5130391
0,0,4.32,4.5,118.69,123.5159632,-4.8259632
0,0,4.4,4.5,120.57,123.7838251,-3.2138251
0,0,4.51,4.5,123.54,124.0551099,-0.5151099
0,0,4.55,4.5,124.05,124.3280797,-0.2780797
0,3,4.74,4.5,126.27,124.6009607,1.6690393
3,3,4.72,4.5,130.55,124.8719598,5.6780402
3,2,4.93,4.5,128.88,125.1393998,3.7406002
2,0,5.03,4.5,128.27,125.4019978,2.8680022
0,0,5.19,4.5,128.08,125.6587307,2.6112693
0,0,5.37,4.5,129.81,125.9087573,3.9012427
0,2,5.46,4.5,129.47,126.1514044,3.3185956
2,2,5.34,4.5,128.34,126.3862252,1.9537748
2,1,5.42,4.5,131.08,126.6130035,4.4669965
1,1,5.01,4.5,129.5,126.8316402,2.6683598
1,1,5.4,4.5,131.45,127.0423244,4.4076756
1,-2,5.45,4.5,130.05,127.2455212,2.8044788
-2,-2,5.64,4.5,129.46,127.4419809,2.0180191
-2,-2,5.54,4.5,127.02,127.6326039,-0.6126039
-2,-2,5.31,4.5,126.65,127.8184719,-1.1684719
-2,-3,5.33,4.5,124.82,128.000651,-3.180651
-3,-3,5.45,4.5,126.53,128.1801416,-1.6501416
-3,-2,5.52,4.5,125.45,128.3578877,-2.9078877
-2,-2,5.54,4.5,124.14,128.5346993,-4.3946993
-2,-2,5.63,4.5,124.35,128.7111726,-4.3611726
-2,-1,5.5,4.5,126.86,128.1419863,-1.281986279
-1,0,5.37,4.5,127.02,128.2205176,-1.200517636
0,0,5.54,4.5,124.89,128.2990222,-3.409022225
