,pence_mil_reis
Jan,23.25
Feb,21.7
Mar,20.4
Apr,na
May,20.5
Jun,22.6
Jul,23.25
Aug,23.5
Sep,23.375
Oct,22.9375
Nov,22.9375
Dec,22.375
Jan,22.5
Feb,21.6
Mar,21.1875
Apr,21.25
May,21.125
Jun,21.6
Jul,22
Aug,22.125
Sep,22.9375
Oct,na
Nov,na
Dec,na
Jan,20.8125
Feb,20.5625
Mar,20.875
Apr,21.66666667
May,21.4375
Jun,21.5
Jul,21.5
Aug,21.3125
Sep,21.1875
Oct,21.4375
Nov,21.5625
Dec,21.25
Jan,21.625
Feb,21.375
Mar,21.5
Apr,21.5
May,21.5
Jun,21.375
Jul,21.25
Aug,21.25
Sep,21.25
Oct,22.5
Nov,21.5
Dec,21.625
Jan,21.75
Feb,22.125
Mar,21.625
Apr,21
May,20.375
Jun,20.25
Jul,20
Aug,20.625
Sep,19.875
Oct,19.75
Nov,19.5
Dec,19.5
Jan,19.5
Feb,19
Mar,18.625
Apr,18.25
May,18.3
Jun,18.125
Jul,18
Aug,18.0625
Sep,18.375
Oct,18
Nov,17.875
Dec,18
Jan,17.8125
Feb,17.9375
Mar,18.9375
Apr,20.5625
May,21.875
Jun,21.125
Jul,20.75
Aug,21.125
Sep,21.5625
Oct,22
Nov,21.875
Dec,22.3125
Jan,22.1875
Feb,22.125
Mar,21.8125
Apr,21.625
May,22.25
Jun,22.125
Jul,22.375
Aug,22.375
Sep,22.625
Oct,22.375
Nov,22.75
Dec,23.1875
Jan,24.0625
Feb,24.5
Mar,23.4375
Apr,23.4375
May,23.875
Jun,24.375
Jul,25.5625
Aug,26.0625
Sep,26.5
Oct,27.0625
Nov,27.0625
Dec,27.0625
